Claim,Original_Verdict,Gold_Verdict,Pred_Verdict
"“Before the terrorist attacks in Benghazi, the State Department not only failed to honor repeated requests for additional security, but instead actually reduced security in Libya.”",FALSE,Mostly True,Mostly True
“Failure to raise the debt limit does not force a U.S. default on debt payments.”,FALSE,Half True,Half True
“Democrats in the Legislature in 2009 voted for various pork projects including a $5 million scoreboard for the Milwaukee Bucks.”,FALSE,FALSE,FALSE
Donald Trump defended World War II internment camps.,FALSE,Mostly False,Mostly False
Bill McCollum holds the same position on embryonic stem cell research as Barack Obama.,FALSE,TRUE,TRUE
"In 1999, the NRA leadership … were for expanded background checks.",FALSE,Mostly False,Mostly False
Turkey is an Arab country.,FALSE,FALSE,FALSE
The number of people in Atlanta dying from HIV and AIDS declined 59 percent between 2004 and 2012.,FALSE,TRUE,TRUE
Says Lee Leffingwell raised property taxes 20 percent in three years.,FALSE,Mostly False,Mostly False
Accuses President Barack Obama of making contradictory claims about efforts to kill Osama bin Laden in 2008 and 2011.,FALSE,TRUE,TRUE
"8 years of the Clintons, major losses for Democrats across the nation.",FALSE,Mostly False,Mostly False
92 percent of the jobs lost during Barack Obama’s first term belonged to women.,FALSE,FALSE,FALSE
Says President Barack Obama was responsible for the assassination of at least four American citizens in drone strikes.,FALSE,Mostly True,Mostly True
It used to be the policy of the Republican Party to get rid of the Department of Education. We finally get in charge and double its size.,FALSE,Half True,Mostly False
"The ACLU-NJ didn’t call for an investigation (of the Newark Police Department), they called for an immediate federal monitor.",FALSE,FALSE,FALSE
Says his executive order requiring young girls to be vaccinated against HPV wasn’t mandatory.,FALSE,FALSE,FALSE
Says a highway was closed in El Paso because of bullets flying across the border.,FALSE,TRUE,TRUE
"If the House fails to extend the middle-class tax cuts, 400,000 Rhode Island families will see taxes increase.",FALSE,Mostly False,Mostly False
95 percent of the income gains in the last few years have gone to the top 1 percent.,FALSE,TRUE,TRUE
"If you actually took the number of Muslim Americans, we’d be one of the largest Muslim countries in the world.",FALSE,FALSE,FALSE
On the pace that we're on with job creation in the last four months … we will have created more jobs this year than in the entire Bush Presidency.,FALSE,Half True,FALSE
"Says Nikita Khrushchev brought an extra shoe to a United Nations session in 1960, which he banged on the desk in protest.",FALSE,FALSE,FALSE
"Low-flow toilets can cost homeowners up to $1,000 each.",FALSE,Mostly True,Mostly True
Jim Renacci voted repeatedly to end Medicare.,FALSE,FALSE,FALSE
"Sen. Joe Lieberman’s home state has a public option which covers about 10,000 citizens, introduced by its Republican governor.",FALSE,Mostly False,Mostly False
Wind powers nearly 13 million homes across the country.,FALSE,FALSE,FALSE
Businesses pay roughly 60 percent of taxes in Texas.,FALSE,Mostly True,Mostly True
Health insurance companies pay CEOs $24 million a year.,FALSE,FALSE,Mostly False
Every president since Franklin Delano Roosevelt has had fast-track trade authority.,FALSE,FALSE,FALSE
Says Donald Trump wants to deport our Dreamers.,FALSE,TRUE,TRUE
Says Barack Obama is apparently not for vetting people and saying just anybody can come to the United States.,FALSE,Mostly False,FALSE
The majority of Americans are conservatives.,FALSE,FALSE,FALSE
Says a lawmaker seeks to defund Planned Parenthood for cutting children into small pieces.,FALSE,TRUE,TRUE
Obama has racked up more debt than any president in history — over $5 trillion.,FALSE,Mostly True,Mostly True
Says Arizona congressional candidate Ray Strauss is a “Champion of Big Government” for his votes to raise taxes while on the local city council.,FALSE,Mostly False,Mostly False
Says with Chris Christie and bipartisan reformers New Jersey had the most job growth in 11 years.,FALSE,FALSE,Mostly False
Says Oregon is near the top or at the top of the list when it comes to capital-gains tax.,FALSE,Mostly True,Mostly True
Says in 1944 we were in debt more than twice as much as we are now.,FALSE,FALSE,FALSE
Says Ronda Storms voted to fund the Taj Mahal courthouse.,FALSE,TRUE,TRUE
"In France, they have a (surveillance) program a thousand-fold more invasive than the United States.",FALSE,Mostly False,Mostly False
"One-half of undocumented workers pay federal income taxes, which means they are paying more federal income taxes than Donald Trump pays.",FALSE,Mostly False,Mostly False
Last week the Blue Chip Economic Indicators came out … Almost all of them are predicting a turnaround in the third quarter and positive growth in the fourth quarter.,FALSE,Mostly False,Mostly False
"Since the United States began negotiations with Iran, that’s probably the first year and a half in which Iran has not advanced its nuclear program in the last decade.",FALSE,Mostly False,Mostly False
Doctors could be charged if women don’t return for follow-up after abortion,FALSE,FALSE,FALSE
Veterans disability claims backlog doubled in Obama’s first term,FALSE,TRUE,TRUE
At least 40% of child pornography viewers molest children,FALSE,FALSE,FALSE
McCrory raised taxes 67 times on the middle class,FALSE,Mostly False,Mostly False
Romney adviser admits Romneycare was the Obamacare blueprint,FALSE,TRUE,TRUE
Texas voters face November constitutional property tax amendment,FALSE,TRUE,TRUE
Portlanders resist ballot measures with opposition,FALSE,TRUE,TRUE
NYT apologized to subscribers for bad Trump coverage,FALSE,FALSE,FALSE
Some businesses in Oregon are shrinking due to the law,FALSE,Half True,Half True
11 years without major hurricanes disproves climate change,FALSE,FALSE,FALSE
"U.S. spends most per capita on health care — 2.5× average, 175% more than Switzerland",FALSE,TRUE,TRUE
I have 2.5 million more votes than Sanders,FALSE,TRUE,TRUE
On abortion,FALSE,Mostly True,Mostly False
Congress gets full pension after one term,FALSE,FALSE,FALSE
Worked with Democratic legislature to balance spending and grow rainy-day fund to $2 B,FALSE,Mostly True,Mostly True
"1,270 infants died following attempted abortions in 2010",FALSE,FALSE,FALSE
No. 2 cause of death for U.S. women under 50 is domestic homicide,FALSE,FALSE,FALSE
"Everyone is working more, earning less, paying more",FALSE,Half True,Half True
Daylight saving time sleep loss can pose health risks,FALSE,TRUE,TRUE
David Perdue said he’d raise taxes,FALSE,FALSE,FALSE
First Latina to run for governor of Texas,FALSE,TRUE,TRUE
Every legislative district in the state has at least one craft brewery and countless home brewers,FALSE,TRUE,Mostly False
"Wisconsin’s criminal threshold for drunken-driving is way out of line with states surrounding us, which have the second offense as a felony",FALSE,FALSE,FALSE
"The poverty level in the Dallas school district is one of the highest in the country, higher than New York, Chicago, Los Angeles, Houston, Detroit and Newark",FALSE,Pants on Fire,FALSE
"In the last six months of the Bush administration, the U.S. lost 3.5 million jobs, including 760 000 jobs during January 2009 alone",FALSE,Mostly False,Mostly False
"In 2007, when Nancy Pelosi met with President Assad of Syria, nobody got upset",FALSE,FALSE,FALSE
"For the past eight years, Gov. Carcieri and Mrs. Carcieri would host the lighting of the State House Christmas tree",FALSE,Mostly False,Mostly False
Every legislative district in the state has at least one craft brewery and countless home brewers,FALSE,Mostly False,Mostly False
"Wisconsin’s criminal threshold for drunken-driving is way out of line with states surrounding us, which have the second offense as a felony",FALSE,FALSE,FALSE
"In Ohio, we invested in our children, raising school funding by 5.5 percent in the last budget",FALSE,FALSE,FALSE
"The poverty level in the Dallas school district is one of the highest in the country, higher than New York, Chicago, Los Angeles, Houston, Detroit and Newark",FALSE,Mostly False,Mostly False
"In the last six months of the Bush administration, the U.S. lost 3.5 million jobs, including 760 000 jobs during January 2009 alone",FALSE,Mostly False,Mostly False
"In 2007, when Nancy Pelosi met with President Assad of Syria, nobody got upset",FALSE,FALSE,FALSE
Rhode Island has the second-most heavily deployed National Guard in the United States,FALSE,Mostly True,Mostly True
Demond Means said the Milwaukee Public Schools “need to be gutted.”,FALSE,FALSE,FALSE
Scott Taylor has been convicted in at least four different courts across the country and had a warrant issued for arrest,FALSE,Mostly False,Mostly False
Nearly 90% of Travis County government races will be settled by the time of the Democratic primary,FALSE,Mostly False,Mostly True
"Mahatma Gandhi once said, “First they ignore you, then they laugh at you, then they fight you, then you win.”",FALSE,FALSE,FALSE
"Savings that I achieved helped fund cameras on the border. As a result, 21 500 arrests and 46 tons of narcotics were confiscated",FALSE,Half True,Half True
The American people will be appalled to learn the health care bill exempts congressional leadership and committee staff,FALSE,FALSE,FALSE
The number of Americans living at or below the poverty line is at its highest level since 1964,FALSE,FALSE,FALSE
The IRS will have the ability potentially to deny or delay health care,FALSE,Mostly True,Mostly False
Deregulation of the state’s telecommunications industry will create 50 000 jobs in Wisconsin,FALSE,Mostly False,Mostly False
We admit about 100 000 permanent immigrants from the Middle East every year,FALSE,FALSE,FALSE
Paid family leave is standard in all but five nations around the world,FALSE,Mostly False,Mostly False
Nearly 14 000 Wisconsinites have lost their job since Governor Walker and Republicans took over in January,FALSE,Mostly False,Mostly False
"In the last 20 years, the French have not stood by the United States on foreign policy",FALSE,FALSE,FALSE
"For the average middle-class family, your taxes today are lower than when I took office",FALSE,FALSE,FALSE
There’s more than 100 000 people working at the Department of Agriculture. That’s 1 employee for every 30 farmers,FALSE,Mostly False,Mostly False
Attorney General Loretta Lynch was a member of Bill Clinton’s defense team during the 1992 Whitewater probe,FALSE,FALSE,FALSE
"Thousands at a Manhattan rally for Donald Trump were chanting ‘We hate Muslims, we hate blacks, we want our great country back.’",FALSE,Half True,FALSE
Barack Obama “passed laws moving people from welfare to work.”,FALSE,Mostly True,Mostly True
Mitt Romney is wrong that spending under Obama accelerated without precedent; it actually rose slower than in nearly 60 years,FALSE,Mostly True,Mostly True
President Barack Obama promised a pathway to citizenship to undocumented immigrants and didn’t deliver jack squat on any of it,FALSE,Mostly False,Mostly True
"The amount of debt is on pace to double in five years and triple in ten. The federal debt is now over $100,000 per household.",FALSE,Mostly False,Mostly False
"The minute this proposal for near-beach oil drilling came up, I was against it.",FALSE,Mostly False,Mostly False
"The proposed Gogebic Taconite, LLC mine in northern Wisconsin could be extended as long as 21 miles.",FALSE,TRUE,TRUE
"The Richardson-Denish administration gave 50,000 drivers licenses to illegal immigrants in New Mexico.",FALSE,Half True,Half True
"The United States actually exports more gasoline, diesel and other fuels than it imported in 2011 for the first time since 1949.",FALSE,TRUE,TRUE
"Richard Burr was one of only three senators who voted against a ban on insider trading for members of Congress, and he called that vote brave.",FALSE,TRUE,TRUE
Christian Pastor in Vermont sentenced to one year in prison after refusing to marry gay couple.,FALSE,FALSE,FALSE
Rhode Island is the only state where officers at state-supported colleges carry out their duties unarmed.,FALSE,Mostly True,Mostly True
The United States has the highest corporate tax rate in the world.,FALSE,FALSE,FALSE
"“It was allowed,” referring to her email practices.",FALSE,Mostly False,Mostly False
The law is very clear! “The monies recouped from the TARP shall be paid into the general fund of the Treasury for the reduction of the public debt.”,FALSE,TRUE,TRUE
"Our veterans, in many cases, are being treated worse than illegal immigrants.",FALSE,Mostly False,Mostly False
Paul Ryan tried to change the whole game for Social Security.,FALSE,Mostly True,Mostly True
"Rob Portman was a registered foreign agent whose client was Haiti, at a time when Baby Doc Duvalier, who was a despot, was killing people.",FALSE,Mostly False,Mostly False
Recent solar energy policies in Georgia have resulted in rate hikes and did not result in solar becoming more economically viable.,FALSE,Mostly False,Mostly False
President Barack Obama’s acceptance of an Islamic order and gold medal was unconstitutional.,FALSE,Mostly False,Mostly False
"In 2010, the non-partisan GAO found that only 6.5 % of the U.S.–Mexico border was under full control of the Border Patrol.",FALSE,Mostly False,Mostly False
Not one tax has been raised since I’ve been governor.,FALSE,FALSE,FALSE
"Demand for transportation choice is on the rise, with 14 % more Ohioans riding passenger trains over the past year.",FALSE,Mostly False,Mostly False
A poll conducted in Egypt revealed that 80 % of Egyptians oppose receiving foreign aid from the U.S.,FALSE,Mostly False,Mostly False
We spend twice as much per capita on health care as any other nation on Earth.,FALSE,Mostly True,Mostly True
The Texas Education Agency follows up to make sure undocumented immigrants paying in-state tuition at Texas colleges are applying for permanent residency.,FALSE,FALSE,FALSE
18 states and the District of Columbia have voted Democratic in six consecutive presidential elections.,FALSE,Mostly True,TRUE
Hidden in the healthcare.gov code is language that means users waive any reasonable right to privacy of your personal information.,FALSE,FALSE,FALSE
One of the most recent polls said 75 percent of Americans said either don’t do anything or start over on health-care reform.,FALSE,TRUE,Mostly False
Most military experts say there are anywhere between 25 and 30 members of al Qaeda in Afghanistan.,FALSE,FALSE,FALSE
The average American is working through the month of May just to pay off the government.,FALSE,FALSE,FALSE
Kelly Ayotte stands with the Washington gun lobby. They fund her campaigns.,FALSE,Mostly False,Mostly False
Barack Obama’s network of small donors constitutes a “parallel public financing system.”,FALSE,Mostly False,Mostly False
"In Cranston, it costs $5,000 – $6,000 to send out community notifications on just one Level 3 sex offender.",FALSE,Mostly True,Mostly False
Nine states with no income tax grew jobs from 2001 to 2010 while others lost them.,FALSE,Half True,Half True
"The United States is not building the aircraft, bombers, aircraft carriers, or nuclear submarines.",FALSE,FALSE,FALSE
"The U.S. spends roughly $500 billion on tax compliance — about the budget of the entire military, entirely wasted.",FALSE,Mostly True,Mostly True
The Texas Education Agency follows up to ensure undocumented immigrants paying in-state tuition are applying for permanent residency.,FALSE,FALSE,FALSE
Roy Barnes: “I can put 10 000 people to work … by retrofitting all state buildings for energy independence or efficiency.”,FALSE,Mostly False,Mostly False
Exporters are using a federal loophole to deceptively sell products made from cat and dog fur to U.S. consumers.,FALSE,TRUE,TRUE
The City of Atlanta has either the highest or second-highest average water bills in the U.S.,FALSE,Mostly False,Mostly False
Mitt Romney’s and Bain Capital’s profits from KB Toys were described by the Boston Herald as ‘disgusting.’,FALSE,Mostly False,Mostly False
Roy Cooper’s refusal to do his job is costing taxpayers money.,FALSE,Mostly False,Mostly False
"In exchange for five minutes with Bill Clinton, the government of Qatar was going to give $1 million to the Clinton Foundation.",FALSE,FALSE,FALSE
Marco Rubio supported gun restrictions including background checks and waiting periods.,FALSE,Half True,Half True
The salaries of Austin residents who don’t work for city government have not been going up 3 percent a year for the last several years.,FALSE,Mostly True,Mostly True
In 2013 over 50 % of all babies born in Oregon were Hispanic.,FALSE,FALSE,FALSE
The City of Atlanta has either the highest or second-highest average water bills in the country.,FALSE,Mostly True,Mostly True
Milwaukee’s problems include 52 % black male unemployment.,FALSE,Half True,Half True
Rob Cornilles has disputed for two years a news story that said he would cut Social Security and Medicare before trimming the defense budget.,FALSE,Mostly True,Mostly True
Michael L. Williams has attended more than 150 Tea Party gatherings.,FALSE,Mostly False,Mostly False
Harry Reid has voted to give special tax breaks to illegal aliens.,FALSE,TRUE,FALSE
Job growth in the U.S. is now at the fastest pace in this country’s history.,FALSE,FALSE,FALSE
"When asked about equal pay for women, Marco Rubio’s quote was that it was a waste of time.",FALSE,Mostly False,Mostly False
Kasim Reed has issued an increasing number of citations — and collected an increasing amount of revenue — since taking office in 2010.,FALSE,Mostly True,Mostly True
The last time Republican U.S. Senate candidates beat more than two incumbents was 1980.,FALSE,Mostly True,Mostly True
On how to respond to Puerto Rico’s debt crisis.,FALSE,Mostly False,Mostly False
The State of Rhode Island has the worst state-funded pension in the country.,FALSE,Mostly False,Mostly False
In 2009 Hillary Clinton was at the State Department working with U.S. corporations to pressure Haiti not to raise the minimum wage to 61¢ from 24¢.,FALSE,Mostly False,Mostly False
"More than any Republican governor in the 2014 elections, I took a higher percentage of the Republican vote — and yet I also carried independents by 12 points.",FALSE,Mostly False,Mostly False
"After the 2012 redistricting, Wisconsin has competitive congressional districts.",FALSE,FALSE,FALSE
John McCain was even mentioned as a running mate with John Kerry.,FALSE,Half True,TRUE
“I’ve cast a couple of 99-1 votes and been the lone dissenter.”,FALSE,Mostly False,Mostly False
“He’s never asked for more than inflationary budget increases in his 10 budgets as Milwaukee County sheriff.”,FALSE,Mostly False,Mostly False
"“Under New York Mayor Bill de Blasio, homicides are up 20 %, and subway delays have soared 45 %.”",FALSE,FALSE,FALSE
“And delivered more tax relief than the other Republicans combined.”,FALSE,Mostly False,Mostly False
"“U.S. Rep. Lamar Smith supported the $700 billion Wall Street bailout in 2008, but now he is standing in the way of reforms that would assure these bailouts would never happen again.”",FALSE,Mostly False,Mostly False
“#GradInsurance debacle is a DIRECT result of #ObamaCare. #MIZZOU has to break the law to do the right thing.”,FALSE,Mostly False,Mostly False
“President Barack Obama has waived the work requirement for welfare.”,FALSE,Mostly False,Mostly False
7 out of 10 Oregon families living in poverty have at least one parent who works.,FALSE,Pants on Fire,TRUE
Mark Warner votes with President Obama 97 % of the time.,FALSE,TRUE,TRUE
Rick Perry is a 25-year incumbent.,FALSE,Mostly False,Mostly False
"Conditions in some parts of Baltimore rival those in the West Bank, North Korea, and distressed cities abroad.",FALSE,FALSE,FALSE
The House passed a pay-as-you-go rule requiring new investments or entitlements to be paid for.,FALSE,Mostly True,Mostly True
Ocean Spray moved its Bordentown facility to Pennsylvania largely because of RGGI costs.,FALSE,FALSE,FALSE
Rhode Island is almost dead last among Northeastern states in the length of time first-degree murderers must serve before parole.,FALSE,TRUE,TRUE
"All the really great programs in American history, like Social Security and Medicare, were done without Republican support until the last vote.",FALSE,Mostly False,Mostly False
Diane Black voted to fund Obamacare.,FALSE,Mostly False,Mostly False
Hurricane Sandy was the most destructive Atlantic storm ever.,FALSE,FALSE,FALSE
Hispanic population in Gwinnett County (+153 %) and Henry County (+339 %) since 2000 while GOP presidential vote share declined.,FALSE,Half True,Half True
I was the most bipartisan senator in the U.S. Senate.,FALSE,Mostly False,Mostly False
"Gov. Scott Walker raises the pay of inmates, but not staff in correctional institutions.",FALSE,Mostly False,Mostly False
Debate over authorizing military action against ISIL would be first time Congress limited the Commander-in-Chief.,FALSE,FALSE,FALSE
U.S. debt is now equal to 100 % of GDP.,FALSE,Mostly True,Mostly True
Tom Ganley supports a 23 % national sales tax that would raise taxes on the middle class and give millionaires a break.,FALSE,Mostly False,Mostly False
Pat Toomey still supports privatizing Social Security.,FALSE,Mostly False,Mostly False
Marijuana kids smoke today isn’t the same as Jeb Bush smoked 40 years ago.,FALSE,TRUE,TRUE
Barack Obama voted against born-alive legislation in Illinois virtually identical to federal law.,FALSE,FALSE,FALSE
"Trump shirts made in Bangladesh, suits in Mexico, vodka in Netherlands, cufflinks & ties in China.",FALSE,Mostly False,Mostly False
Obama opened up no new trade relationships with other nations.,FALSE,TRUE,FALSE
Taxpayer subsidy for Oregon Convention Center hotel jumped $100 M in closed-door sessions.,FALSE,Mostly False,Mostly False
Four bulbs cost $1.99 at Walmart; a single CFL costs $10 each.,FALSE,Mostly True,Half True
"Jeb Bush, not the State of Florida, decided which private emails to disclose.",FALSE,Pants on Fire,TRUE
History tells us job growth always lags economic growth.,FALSE,Half True,Half True
Bill Howell has been the consistent force behind every major tax increase in Virginia in the last decade.,FALSE,FALSE,FALSE
"More than 9,000 Rhode Island voters used the Moderate Party master lever though no Moderate was on their ballot.",FALSE,TRUE,Mostly False
Obama attacked Paul Ryan on Medicare even though his administration cut $716 B from Medicare.,FALSE,TRUE,Half True
Hillary Clinton deleted record of support for TPP from her book.,FALSE,Mostly True,FALSE
Obama said Iran is a “tiny” country that “doesn’t pose a serious threat.”,FALSE,FALSE,FALSE
“Barbara Boxer’s worried about the weather instead of terrorism as the biggest threat to national security.”,FALSE,FALSE,FALSE
“We spend three times more on entitlements and debt services than we do on defense.”,FALSE,Mostly False,Mostly False
"“In the 2014 elections, the American people overwhelmingly said we don’t want Obamacare and we don’t want amnesty.”",FALSE,FALSE,FALSE
“Dan Patrick got caught not paying his taxes and pocketed his employees’ payroll taxes.”,FALSE,Pants on Fire,Mostly False
“Merrick Garland authored an opinion that resulted in the release of 17 Guantanamo Bay prisoners who were part of a group of violent Islamist extremists the State Department had designated as terrorists.”,FALSE,TRUE,Half True
"“Congress has 11 percent approval ratings, yet 96.4 percent of incumbent lawmakers were re-elected in 2014.”",FALSE,TRUE,TRUE
“Letting the Bush tax cuts expire would raise taxes on small businesses.”,FALSE,Half True,FALSE
"“Statistics bear out that any time a country, a state, makes more restrictive abortion laws … fatalities go up and abortions actually increase.”",FALSE,TRUE,TRUE
President’s budget would take non-defense spending to lowest % of economy since JFK.,FALSE,Mostly True,Mostly True
"Of 6 million disenfranchised felons in U.S., one-quarter are Floridians.",FALSE,Mostly False,Mostly False
Obama “basically threatened to bomb Pakistan.”,FALSE,FALSE,FALSE
Governor did not consult his own party before releasing transportation plan.,FALSE,Mostly False,Mostly False
Ohio has lost more population than every other state except two.,FALSE,Mostly True,Mostly True
"In California, Donald Trump gave $12 000 to Jerry Brown, Gavin Newsom and Kamala Harris.",FALSE,Mostly False,Mostly False
Gov. Rick Perry has overseen the highest Texas unemployment in 22 years.,FALSE,Mostly False,Mostly False
On support for the auto bailouts.,FALSE,Mostly False,Mostly False
Ed Gillespie’s 2006 book promoted an individual health-care mandate enforced by IRS via tax code.,FALSE,TRUE,TRUE
“When Republican extremists tried to take away abortion rights Blake Rocap stopped them.”,FALSE,Mostly False,Mostly False
“Obama refuses to recognize Jerusalem as the capital of Israel.”,FALSE,TRUE,TRUE
